classifier,dataset_name,n_sample,n_fold,n_draw,unweighted_area_under_roc,elapsed time (seconds),characteristics,options
JRip,tae,1,7,5,0.533333,0,"JRip_checkErrorRate=false;JRip_usePruning=true;JRip_folds=5;JRip_optimizations=4;JRip_minNo=5;","-E -F 5 -O 4 -N 5"
JRip,tae,1,7,6,0.460000,0,"JRip_checkErrorRate=true;JRip_usePruning=true;JRip_folds=10;JRip_optimizations=1;JRip_minNo=8;","-F 10 -O 1 -N 8"
JRip,tae,1,7,7,0.586667,0,"JRip_checkErrorRate=true;JRip_usePruning=false;JRip_folds=null;JRip_optimizations=null;JRip_minNo=6;","-P -N 6"
JRip,tae,1,7,8,0.596667,0,"JRip_checkErrorRate=true;JRip_usePruning=false;JRip_folds=null;JRip_optimizations=null;JRip_minNo=4;","-P -N 4"
JRip,tae,1,7,10,0.533333,0,"JRip_checkErrorRate=true;JRip_usePruning=true;JRip_folds=3;JRip_optimizations=8;JRip_minNo=4;","-F 3 -O 8 -N 4"
JRip,tae,1,7,11,0.520000,0,"JRip_checkErrorRate=true;JRip_usePruning=true;JRip_folds=7;JRip_optimizations=4;JRip_minNo=6;","-F 7 -O 4 -N 6"
JRip,tae,1,7,12,0.556667,0,"JRip_checkErrorRate=true;JRip_usePruning=false;JRip_folds=null;JRip_optimizations=null;JRip_minNo=3;","-P -N 3"
JRip,tae,1,7,13,0.533333,0,"JRip_checkErrorRate=false;JRip_usePruning=true;JRip_folds=10;JRip_optimizations=10;JRip_minNo=3;","-E -F 10 -O 10 -N 3"
JRip,tae,1,7,14,0.520000,0,"JRip_checkErrorRate=true;JRip_usePruning=true;JRip_folds=10;JRip_optimizations=1;JRip_minNo=9;","-F 10 -O 1 -N 9"
JRip,tae,1,7,16,0.586667,0,"JRip_checkErrorRate=false;JRip_usePruning=false;JRip_folds=null;JRip_optimizations=null;JRip_minNo=6;","-E -P -N 6"
JRip,tae,1,7,17,0.623333,0,"JRip_checkErrorRate=false;JRip_usePruning=false;JRip_folds=null;JRip_optimizations=null;JRip_minNo=2;","-E -P -N 2"
JRip,tae,1,7,18,0.540000,0,"JRip_checkErrorRate=true;JRip_usePruning=false;JRip_folds=null;JRip_optimizations=null;JRip_minNo=10;","-P -N 10"
JRip,tae,1,7,19,0.540000,0,"JRip_checkErrorRate=true;JRip_usePruning=true;JRip_folds=7;JRip_optimizations=1;JRip_minNo=6;","-F 7 -O 1 -N 6"
JRip,tae,1,7,20,0.520000,0,"JRip_checkErrorRate=false;JRip_usePruning=true;JRip_folds=5;JRip_optimizations=2;JRip_minNo=7;","-E -F 5 -O 2 -N 7"
JRip,tae,1,7,22,0.550000,0,"JRip_checkErrorRate=true;JRip_usePruning=false;JRip_folds=null;JRip_optimizations=null;JRip_minNo=2;","-P -N 2"
JRip,tae,1,7,23,0.520000,0,"JRip_checkErrorRate=true;JRip_usePruning=true;JRip_folds=9;JRip_optimizations=4;JRip_minNo=9;","-F 9 -O 4 -N 9"
