classifier,dataset_name,n_sample,n_fold,n_draw,unweighted_area_under_roc,elapsed time (seconds),characteristics,options
PART,tae,1,3,6,0.506667,0,"PART_binarySplits=true;PART_useMDLcorrection=false;PART_doNotMakeSplitPointActualValue=false;PART_minNumObj=6;PART_pruning=reducedErrorPruning;PART_numFolds=8;PART_confidenceFactorValue=null;","-B -J -M 6 -R -Q 1 -N 8"
PART,tae,1,3,7,0.626667,0,"PART_binarySplits=true;PART_useMDLcorrection=true;PART_doNotMakeSplitPointActualValue=false;PART_minNumObj=5;PART_pruning=reducedErrorPruning;PART_numFolds=3;PART_confidenceFactorValue=null;","-B -M 5 -R -Q 1 -N 3"
PART,tae,1,3,8,0.633333,0,"PART_binarySplits=false;PART_useMDLcorrection=false;PART_doNotMakeSplitPointActualValue=true;PART_minNumObj=7;PART_pruning=confidenceFactor;PART_numFolds=null;PART_confidenceFactorValue=0.35;","-J -doNotMakeSplitPointActualValue -M 7 -C 0.35"
PART,tae,1,3,9,0.490000,0,"PART_binarySplits=false;PART_useMDLcorrection=true;PART_doNotMakeSplitPointActualValue=false;PART_minNumObj=9;PART_pruning=confidenceFactor;PART_numFolds=null;PART_confidenceFactorValue=0.15;","-M 9 -C 0.15"
PART,tae,1,3,10,0.533333,0,"PART_binarySplits=true;PART_useMDLcorrection=true;PART_doNotMakeSplitPointActualValue=true;PART_minNumObj=2;PART_pruning=reducedErrorPruning;PART_numFolds=9;PART_confidenceFactorValue=null;","-B -doNotMakeSplitPointActualValue -M 2 -R -Q 1 -N 9"
PART,tae,1,3,11,0.686667,0,"PART_binarySplits=false;PART_useMDLcorrection=false;PART_doNotMakeSplitPointActualValue=false;PART_minNumObj=5;PART_pruning=reducedErrorPruning;PART_numFolds=7;PART_confidenceFactorValue=null;","-J -M 5 -R -Q 1 -N 7"
PART,tae,1,3,12,0.643333,0,"PART_binarySplits=true;PART_useMDLcorrection=false;PART_doNotMakeSplitPointActualValue=false;PART_minNumObj=6;PART_pruning=unpruned;PART_numFolds=null;PART_confidenceFactorValue=null;","-B -J -M 6 -U"
PART,tae,1,3,13,0.636667,0,"PART_binarySplits=false;PART_useMDLcorrection=true;PART_doNotMakeSplitPointActualValue=true;PART_minNumObj=10;PART_pruning=unpruned;PART_numFolds=null;PART_confidenceFactorValue=null;","-doNotMakeSplitPointActualValue -M 10 -U"
PART,tae,1,3,14,0.656667,0,"PART_binarySplits=false;PART_useMDLcorrection=true;PART_doNotMakeSplitPointActualValue=false;PART_minNumObj=7;PART_pruning=unpruned;PART_numFolds=null;PART_confidenceFactorValue=null;","-M 7 -U"
PART,tae,1,3,15,0.673333,0,"PART_binarySplits=true;PART_useMDLcorrection=false;PART_doNotMakeSplitPointActualValue=false;PART_minNumObj=3;PART_pruning=confidenceFactor;PART_numFolds=null;PART_confidenceFactorValue=0.45;","-B -J -M 3 -C 0.45"
PART,tae,1,3,16,0.603333,0,"PART_binarySplits=true;PART_useMDLcorrection=false;PART_doNotMakeSplitPointActualValue=false;PART_minNumObj=10;PART_pruning=unpruned;PART_numFolds=null;PART_confidenceFactorValue=null;","-B -J -M 10 -U"
PART,tae,1,3,17,0.710000,0,"PART_binarySplits=false;PART_useMDLcorrection=false;PART_doNotMakeSplitPointActualValue=false;PART_minNumObj=3;PART_pruning=reducedErrorPruning;PART_numFolds=5;PART_confidenceFactorValue=null;","-J -M 3 -R -Q 1 -N 5"
PART,tae,1,3,18,0.773333,0,"PART_binarySplits=true;PART_useMDLcorrection=true;PART_doNotMakeSplitPointActualValue=false;PART_minNumObj=8;PART_pruning=unpruned;PART_numFolds=null;PART_confidenceFactorValue=null;","-B -M 8 -U"
PART,tae,1,3,19,0.490000,0,"PART_binarySplits=true;PART_useMDLcorrection=true;PART_doNotMakeSplitPointActualValue=true;PART_minNumObj=9;PART_pruning=confidenceFactor;PART_numFolds=null;PART_confidenceFactorValue=0.15;","-B -doNotMakeSplitPointActualValue -M 9 -C 0.15"
PART,tae,1,3,20,0.603333,0,"PART_binarySplits=false;PART_useMDLcorrection=false;PART_doNotMakeSplitPointActualValue=true;PART_minNumObj=10;PART_pruning=unpruned;PART_numFolds=null;PART_confidenceFactorValue=null;","-J -doNotMakeSplitPointActualValue -M 10 -U"
PART,tae,1,3,21,0.600000,0,"PART_binarySplits=true;PART_useMDLcorrection=true;PART_doNotMakeSplitPointActualValue=false;PART_minNumObj=4;PART_pruning=reducedErrorPruning;PART_numFolds=3;PART_confidenceFactorValue=null;","-B -M 4 -R -Q 1 -N 3"
PART,tae,1,3,22,0.700000,0,"PART_binarySplits=true;PART_useMDLcorrection=true;PART_doNotMakeSplitPointActualValue=true;PART_minNumObj=4;PART_pruning=confidenceFactor;PART_numFolds=null;PART_confidenceFactorValue=0.05;","-B -doNotMakeSplitPointActualValue -M 4 -C 0.05"
PART,tae,1,3,23,0.593333,0,"PART_binarySplits=false;PART_useMDLcorrection=false;PART_doNotMakeSplitPointActualValue=false;PART_minNumObj=7;PART_pruning=unpruned;PART_numFolds=null;PART_confidenceFactorValue=null;","-J -M 7 -U"
PART,tae,1,3,24,0.680000,0,"PART_binarySplits=true;PART_useMDLcorrection=true;PART_doNotMakeSplitPointActualValue=false;PART_minNumObj=7;PART_pruning=reducedErrorPruning;PART_numFolds=7;PART_confidenceFactorValue=null;","-B -M 7 -R -Q 1 -N 7"
PART,tae,1,3,25,0.703333,0,"PART_binarySplits=true;PART_useMDLcorrection=true;PART_doNotMakeSplitPointActualValue=true;PART_minNumObj=2;PART_pruning=unpruned;PART_numFolds=null;PART_confidenceFactorValue=null;","-B -doNotMakeSplitPointActualValue -M 2 -U"
PART,tae,1,4,1,0.660000,0,"PART_binarySplits=true;PART_useMDLcorrection=false;PART_doNotMakeSplitPointActualValue=false;PART_minNumObj=9;PART_pruning=unpruned;PART_numFolds=null;PART_confidenceFactorValue=null;","-B -J -M 9 -U"
PART,tae,1,4,2,0.693333,0,"PART_binarySplits=true;PART_useMDLcorrection=true;PART_doNotMakeSplitPointActualValue=true;PART_minNumObj=4;PART_pruning=reducedErrorPruning;PART_numFolds=4;PART_confidenceFactorValue=null;","-B -doNotMakeSplitPointActualValue -M 4 -R -Q 1 -N 4"
